location,date,aqi
"Minhang Jiangchuan, Shanghai",2022-11-15,76.0
"Minhang Jiangchuan, Shanghai",2022-11-14,54.0
"Minhang Jiangchuan, Shanghai",2022-11-13,65.0
"Minhang Jiangchuan, Shanghai",2022-11-12,84.0
"Minhang Jiangchuan, Shanghai",2022-11-11,103.0
"Minhang Jiangchuan, Shanghai",2022-11-10,77.0
"Minhang Jiangchuan, Shanghai",2022-11-09,63.0
"Minhang Jiangchuan, Shanghai",2022-11-08,67.0
"Minhang Jiangchuan, Shanghai",2022-11-05,56.0
"Minhang Jiangchuan, Shanghai",2022-11-04,70.0
"Minhang Jiangchuan, Shanghai",2022-11-03,97.0
"Minhang Jiangchuan, Shanghai",2022-11-02,69.0
"Minhang Jiangchuan, Shanghai",2022-11-01,41.0
"Minhang Jiangchuan, Shanghai",2022-10-31,66.0
"Minhang Jiangchuan, Shanghai",2022-10-30,58.0
"Minhang Jiangchuan, Shanghai",2022-10-29,53.0
"Minhang Jiangchuan, Shanghai",2022-10-28,36.0
"Minhang Jiangchuan, Shanghai",2022-10-27,52.0
"Minhang Jiangchuan, Shanghai",2022-10-26,44.0
"Minhang Jiangchuan, Shanghai",2022-10-25,50.0
"Minhang Jiangchuan, Shanghai",2022-10-24,82.0
"Minhang Jiangchuan, Shanghai",2022-10-23,97.0
"Minhang Jiangchuan, Shanghai",2022-10-22,72.0
"Minhang Jiangchuan, Shanghai",2022-10-21,56.0
"Minhang Jiangchuan, Shanghai",2022-10-20,56.0
"Minhang Jiangchuan, Shanghai",2022-10-19,44.0
"Minhang Jiangchuan, Shanghai",2022-10-18,88.0
"Minhang Jiangchuan, Shanghai",2022-10-17,100.0
"Minhang Jiangchuan, Shanghai",2022-10-16,83.0
"Minhang Jiangchuan, Shanghai",2022-10-15,61.0
"Minhang Jiangchuan, Shanghai",2022-10-14,49.0
"Minhang Jiangchuan, Shanghai",2022-10-13,44.0
"Minhang Jiangchuan, Shanghai",2022-10-12,71.0
"Minhang Jiangchuan, Shanghai",2022-10-11,51.0
"Minhang Jiangchuan, Shanghai",2022-10-10,84.0
"Minhang Jiangchuan, Shanghai",2022-10-09,57.0
"Minhang Jiangchuan, Shanghai",2022-10-08,42.0
"Minhang Jiangchuan, Shanghai",2022-10-07,40.0
"Minhang Jiangchuan, Shanghai",2022-10-06,36.0
"Minhang Jiangchuan, Shanghai",2022-10-05,43.0
