lat,lon,co2
40.7696272,44.6736646,0.002
-24.7761086,134.755,0.267
47.59397,14.12456,5.075
40.3936294,47.7872508,0.012
53.4250605,27.6971358,0.025
50.6402809,4.6667145,18.082
61.0666922,-107.991707,0.843
49.7439047,15.3381061,2.063
55.670249,10.3333283,0.649
58.7523778,25.3319078,0.009
63.2467777,25.9209164,0.048
46.603354,1.8883335,46.83
32.3293809,-83.1137366,0.004
51.1638175,10.4478313,56.642
47.1817585,19.5060937,1.209
22.3511148,78.6677428,0.578
42.6384261,12.674297,1.605
48.1012954,66.7780818,0.06
41.5089324,74.724091,0.005
56.8406494,24.7537645,0.006
55.3500003,23.7499997,0.009
47.2879608,28.5670941,0.01
52.2434979,5.6343227,3.404
60.5000209,9.0999715,0.48
52.215933,19.134422,11.219
45.9852129,24.6859225,0.015
64.6863136,97.7453061,0.557
48.7411522,19.4528646,0.663
39.3260685,-4.8379791,2.334
59.6749712,14.5208584,1.037
46.7985624,8.2319736,0.572
38.6281733,70.8156541,0.003
39.3763807,59.3924609,0.008
49.4871968,31.2718321,0.177
54.7023545,-3.2765753,193.91
39.7837304,-100.445882,58.657
41.32373,63.9528098,0.025
