lat,lon,co2
-34.9964963,-64.9672817,1.993
40.7696272,44.6736646,0.087
-24.7761086,134.755,4.36
47.59397,14.12456,18.129
40.3936294,47.7872508,0.501
53.4250605,27.6971358,1.047
50.6402809,4.6667145,39.831
44.3053476,17.5961467,0.058
42.6073975,25.4856617,0.081
61.0666922,-107.991707,14.18
45.5643442,17.0118954,0.063
49.7439047,15.3381061,28.775
55.670249,10.3333283,3.4
58.7523778,25.3319078,0.38
63.2467777,25.9209164,0.22
46.603354,1.8883335,101.9
32.3293809,-83.1137366,0.155
51.1638175,10.4478313,229.498
38.9953683,21.9877132,0.333
47.1817585,19.5060937,6.434
22.3511148,78.6677428,5.624
-2.4833826,117.8902853,0.48
42.6384261,12.674297,13.062
36.5748441,139.2394179,11.025
48.1012954,66.7780818,2.5
41.5089324,74.724091,0.221
56.8406494,24.7537645,0.251
55.3500003,23.7499997,0.391
4.5693754,102.2656823,0.048
23.6585116,-102.0077097,0.539
47.2879608,28.5670941,0.405
42.9868853,19.5180992,0.006
52.2434979,5.6343227,11.619
-41.5000831,172.8344077,1.608
41.6171214,21.7168387,0.042
60.5000209,9.0999715,2.906
-6.8699697,-75.0458515,0.04
52.215933,19.134422,46.093
39.6621648,-8.1353519,1.777
45.9852129,24.6859225,1.041
64.6863136,97.7453061,23.025
44.1534121,20.55144,0.168
48.7411522,19.4528646,9.254
45.8133113,14.4808369,0.048
-28.8166236,24.991639,2.433
39.3260685,-4.8379791,8.735
59.6749712,14.5208584,5.892
46.7985624,8.2319736,3.583
38.6281733,70.8156541,0.129
38.9597594,34.9249653,0.392
39.3763807,59.3924609,0.319
49.4871968,31.2718321,7.306
54.7023545,-3.2765753,362.102
39.7837304,-100.445882,425.05
41.32373,63.9528098,1.024
15.9266657,107.9650855,0.304
