lat,lon,co2
-34.9964963,-64.9672817,0.938
40.7696272,44.6736646,0.068
-24.7761086,134.755,4.008
47.59397,14.12456,14.945
40.3936294,47.7872508,0.396
53.4250605,27.6971358,0.828
50.6402809,4.6667145,37.78
44.3053476,17.5961467,0.015
42.6073975,25.4856617,0.04
61.0666922,-107.991707,13.942
45.5643442,17.0118954,0.017
49.7439047,15.3381061,27.05
55.670249,10.3333283,3.085
58.7523778,25.3319078,0.3
63.2467777,25.9209164,0.22
46.603354,1.8883335,97.983
32.3293809,-83.1137366,0.123
51.1638175,10.4478313,220.84
38.9953683,21.9877132,
47.1817585,19.5060937,5.522
22.3511148,78.6677428,4.778
-2.4833826,117.8902853,0.022
52.865196,-7.9794599,
42.6384261,12.674297,10.999
36.5748441,139.2394179,8.123
48.1012954,66.7780818,1.978
41.5089324,74.724091,0.175
56.8406494,24.7537645,0.199
55.3500003,23.7499997,0.31
4.5693754,102.2656823,0.018
23.6585116,-102.0077097,0.52
47.2879608,28.5670941,0.32
42.9868853,19.5180992,0.002
52.2434979,5.6343227,11.908
-41.5000831,172.8344077,1.491
41.6171214,21.7168387,0.011
60.5000209,9.0999715,2.415
-6.8699697,-75.0458515,0.048
52.215933,19.134422,45.342
39.6621648,-8.1353519,1.74
45.9852129,24.6859225,1.118
64.6863136,97.7453061,18.221
44.1534121,20.55144,0.045
48.7411522,19.4528646,8.699
45.8133113,14.4808369,0.013
-28.8166236,24.991639,0.297
39.3260685,-4.8379791,7.94
59.6749712,14.5208584,5.28
46.7985624,8.2319736,3.521
38.6281733,70.8156541,0.102
38.9597594,34.9249653,0.403
39.3763807,59.3924609,0.252
49.4871968,31.2718321,5.782
54.7023545,-3.2765753,360.472
39.7837304,-100.445882,427.425
41.32373,63.9528098,0.81
