0,1,2
Afghanistan,1991,2.427
Albania,1991,4.228
Algeria,1991,78.807
Andorra,1991,0.407
Angola,1991,5.064
Anguilla,1991,0.051
Antarctica,1991,0.015
Antigua and Barbuda,1991,0.213
Argentina,1991,117.506
Armenia,1991,7.288
Aruba,1991,0.531
Australia,1991,281.872
Austria,1991,65.738
Azerbaijan,1991,50.034
Bahamas,1991,1.997
Bahrain,1991,11.857
Bangladesh,1991,14.742
Barbados,1991,1.202
Belarus,1991,96.78
Belgium,1991,123.378
Belize,1991,0.407
Benin,1991,0.733
Bermuda,1991,0.539
Bhutan,1991,0.175
Bolivia,1991,5.972
Bonaire Sint Eustatius and Saba,1991,0.197
Bosnia and Herzegovina,1991,13.633
Botswana,1991,2.634
Brazil,1991,229.394
British Virgin Islands,1991,0.073
Brunei,1991,5.305
Bulgaria,1991,61.517
Burkina Faso,1991,0.627
Burundi,1991,0.238
Cambodia,1991,1.304
Cameroon,1991,2.668
Canada,1991,449.699
Cape Verde,1991,0.099
Central African Republic,1991,0.191
Chad,1991,0.385
Chile,1991,30.95
China,1991,2606.096
Christmas Island,1991,
Colombia,1991,56.654
Comoros,1991,0.066
Congo,1991,1.083
Cook Islands,1991,0.04
Costa Rica,1991,3.288
Cote d'Ivoire,1991,4.309
Croatia,1991,16.986
Cuba,1991,27.17
Curacao,1991,3.69
Cyprus,1991,5.141
Czechia,1991,148.892
Democratic Republic of Congo,1991,3.133
Denmark,1991,64.189
Djibouti,1991,0.286
Dominica,1991,0.059
Dominican Republic,1991,9.538
Ecuador,1991,16.157
Egypt,1991,77.296
El Salvador,1991,3.155
Equatorial Guinea,1991,0.066
Eritrea,1991,
Estonia,1991,33.823
Eswatini,1991,0.872
Ethiopia,1991,2.958
Faroe Islands,1991,0.656
Fiji,1991,0.662
Finland,1991,55.23
France,1991,417.134
French Equatorial Africa,1991,
French Guiana,1991,0.8
French Polynesia,1991,0.436
French West Africa,1991,
Gabon,1991,4.522
Gambia,1991,0.198
Georgia,1991,15.869
Germany,1991,1014.225
Ghana,1991,4.209
Greece,1991,83.401
Greenland,1991,0.61
Grenada,1991,0.11
Guadeloupe,1991,1.397
Guatemala,1991,4.951
Guinea,1991,1.026
Guinea-Bissau,1991,0.176
Guyana,1991,1.107
Haiti,1991,0.976
Honduras,1991,2.439
Hong Kong,1991,28.463
Hungary,1991,69.656
Iceland,1991,2.106
India,1991,615.925
Indonesia,1991,180.621
Iran,1991,226.011
Iraq,1991,45.185
Ireland,1991,33.673
Israel,1991,36.148
Italy,1991,439.094
Jamaica,1991,7.751
Japan,1991,1169.692
Jordan,1991,9.904
Kazakhstan,1991,271.695
Kenya,1991,4.709
Kiribati,1991,0.022
Kuwait,1991,14.916
Kyrgyzstan,1991,16.002
Laos,1991,0.546
Latvia,1991,17.919
Lebanon,1991,8.115
Leeward Islands,1991,
Lesotho,1991,1.528
Liberia,1991,0.371
Libya,1991,42.62
Liechtenstein,1991,0.206
Lithuania,1991,37.85
Luxembourg,1991,12.443
Macao,1991,1.092
Madagascar,1991,1.01
Malawi,1991,0.786
Malaysia,1991,65.785
Maldives,1991,0.154
Mali,1991,0.426
Malta,1991,2.255
Marshall Islands,1991,
Martinique,1991,1.573
Mauritania,1991,0.868
Mauritius,1991,1.521
Mayotte,1991,0.075
Mexico,1991,330.133
Moldova,1991,29.631
Mongolia,1991,12.121
Montenegro,1991,1.355
Montserrat,1991,0.029
Morocco,1991,23.688
Mozambique,1991,0.949
Myanmar,1991,4.137
Namibia,1991,1.055
Nauru,1991,0.125
Nepal,1991,1.026
Netherlands,1991,170.227
New Caledonia,1991,1.759
New Zealand,1991,26.333
Nicaragua,1991,1.986
Niger,1991,0.569
Nigeria,1991,41.929
Niue,1991,0.007
North Korea,1991,117.227
North Macedonia,1991,10.035
Norway,1991,33.54
Oman,1991,11.595
Pakistan,1991,67.477
Palau,1991,0.234
Panama,1991,3.104
Papua New Guinea,1991,2.169
Paraguay,1991,2.103
Peru,1991,20.758
Philippines,1991,43.472
Poland,1991,373.828
Portugal,1991,47.152
Puerto Rico,1991,
Qatar,1991,17.38
Reunion,1991,1.635
Romania,1991,140.204
Russia,1991,2396.205
Rwanda,1991,0.472
Ryukyu Islands,1991,
Saint Helena,1991,0.007
Saint Kitts and Nevis,1991,0.106
Saint Lucia,1991,0.187
Saint Pierre and Miquelon,1991,0.103
Saint Vincent and the Grenadines,1991,0.084
Samoa,1991,0.095
Sao Tome and Principe,1991,0.048
Saudi Arabia,1991,288.546
Senegal,1991,3.379
Serbia,1991,38.616
Seychelles,1991,0.172
Sierra Leone,1991,0.583
Singapore,1991,44.235
Sint Maarten,1991,0.44
Slovakia,1991,53.282
Slovenia,1991,13.962
Solomon Islands,1991,0.158
Somalia,1991,0.708
South Africa,1991,326.069
South Korea,1991,275.657
South Sudan,1991,0.406
Spain,1991,240.932
Sri Lanka,1991,4.138
St. Kitts-Nevis-Anguilla,1991,
Sudan,1991,4.466
Suriname,1991,2.023
Sweden,1991,57.753
Switzerland,1991,46.132
Syria,1991,42.201
Taiwan,1991,133.586
Tajikistan,1991,9.767
Tanzania,1991,2.255
Thailand,1991,96.748
Timor,1991,
Togo,1991,1.05
Tonga,1991,0.095
Trinidad and Tobago,1991,16.968
Tunisia,1991,15.364
Turkey,1991,157.982
Turkmenistan,1991,32.717
Turks and Caicos Islands,1991,0.029
Tuvalu,1991,0.007
Uganda,1991,0.78
Ukraine,1991,632.537
United Arab Emirates,1991,56.673
United Kingdom,1991,608.431
United States,1991,5057.931
Uruguay,1991,4.528
Uzbekistan,1991,102.921
